topic,query,answer,gold_answer,latency,groundedness,citation_accuracy,partial_match
Agile,What is the definition of Done in Sandbox Agile?,"I am sorry, but the company documents do not contain information on this topic.","Code is peer-reviewed, unit tests are written and passing, the feature is tested by QA, and the Product Owner has accepted the story.",563.71,True,True,False
Leave,How many days of annual leave are full-time employees entitled to per year in South Africa?,"I am sorry, but the company documents do not contain information on this topic regarding the location ""South Africa"". However, according to the provided context, full-time employees are entitled to 21 consecutive days of paid annual leave per year.",21 consecutive days of paid annual leave per year (1.75 days per month).,423.53,True,True,True
Leave,What is the maximum number of annual leave days an employee can accumulate?,The maximum number of annual leave days an employee can accumulate is 30 days.,A maximum of 30 days of annual leave.,431.03,False,True,True
Leave,When is a medical certificate required for sick leave?,"A medical certificate is required if you are absent from work for more than two consecutive days, or on more than two occasions during an eight-week period.","If absent for more than two consecutive days, or on more than two occasions during an eight-week period.",361.69,False,True,True
Dress Code,What is the company's dress code policy for regular office days?,"The company's dress code policy is ""smart casual."" However, certain items are not allowed, including clothing with offensive graphics or language, beachwear, sportswear (unless participating in a company wellness activity), and clothing that is torn, dirty, or revealing.","The dress code is 'smart casual', which means professional yet relaxed, neat and put-together.",575.65,False,True,True
Dress Code,What should an employee wear when meeting with clients?,"When meeting with clients, employees are expected to dress in business professional attire. Examples include: 
- For men: Suit or blazer, dress shirt, trousers, and dress shoes, with a tie recommended.
- For women: Suit, dress, or a skirt/trousers with a blouse and blazer.","Business professional attire (e.g., suit, blazer, dress shirt, dress shoes).",460.53,False,True,True
Dress Code,Are flip-flops allowed in the office?,"No, flip-flops are not allowed in the office as they are considered beachwear.","No, beachwear like flip-flops is specifically listed as unacceptable attire.",403.04,True,True,True
Leave,How many days of family responsibility leave are employees entitled to?,"Employees are entitled to 3 days of paid family responsibility leave per year, provided they have worked for more than four months.","3 days of paid family responsibility leave per year, for employees who have worked more than four months.",432.91,True,True,True
Remote Work,Does Sandbox provide equipment for remote work?,"Yes, Sandbox will provide the necessary equipment for remote work, including a laptop and other peripherals.","Yes, Sandbox provides necessary equipment including a laptop and other peripherals.",320.71,False,True,True
Remote Work,Who is responsible for the cost of internet service for remote employees?,"According to the remote_work_policy.md, employees are responsible for their own internet service and costs, although a stipend may be provided to offset these costs as outlined in the Expense Policy.","Employees are responsible for their own internet service and costs, though a stipend may be provided as outlined in the Expense Policy.",462.37,False,True,True
Expenses,Within how many days should an expense report be submitted?,Expense reports should be submitted within 30 days of incurring the expense.,Expense reports should be submitted within 30 days of incurring the expense.,341.8,False,True,True
Expenses,Is childcare a reimbursable expense?,"No, childcare is not a reimbursable expense. It is listed as a non-reimbursable expense in the company's policy.","No, childcare is specifically listed as a non-reimbursable expense.",411.91,True,True,True
Agile,What are the core Scrum events mentioned in the Agile guide?,"The core Scrum events mentioned in the Agile guide are: 
1. The Sprint
2. Sprint Planning
3. Daily Scrum (Stand-up)
4. Sprint Review
5. Sprint Retrospective","The Sprint, Sprint Planning, Daily Scrum (Stand-up), Sprint Review, and Sprint Retrospective.",426.51,False,True,True
General,Who is the CEO of Sandbox?,The CEO of Sandbox is Stacy Fakename.,Stacy Fakename.,379.68,True,True,True
Expenses,What is the 'Home Office Stipend' mentioned in the Expense Policy?,"The 'Home Office Stipend' is a monthly stipend provided to remote employees to cover a portion of home office expenses, such as internet and electricity.",A monthly stipend provided to remote employees to cover a portion of home office expenses like internet and electricity.,367.92,False,True,True
Agile,What are the three questions for the Daily Scrum?,"The three questions to consider during the Daily Scrum are:
1. What did I do yesterday?
2. What will I do today?
3. Are there any impediments in my way?",1. What did I do yesterday? 2. What will I do today? 3. Are there any impediments in my way?,2624.92,False,True,True
Agile,What is the 'Scrum Master' responsible for?,"The Scrum Master is responsible for helping everyone understand Scrum theory and practice, and for removing impediments to the team's progress. They act as a servant-leader for the team.",The Scrum Master is a servant-leader responsible for helping everyone understand Scrum and removing impediments to the team's progress.,2647.09,False,True,True
Expenses,Can an employee be reimbursed for traffic violations?,"No, according to the expense policy, traffic violations are considered non-reimbursable expenses.","No, traffic violations or parking tickets are non-reimbursable.",2565.17,True,True,True
Leave,What is the leave year period at Sandbox?,The leave year at Sandbox runs from January 1st to December 31st.,The leave year runs from January 1st to December 31st.,2711.84,True,True,True
Out-of-Scope,What is the policy on company space travel and Mars colonies?,"I am sorry, but the company documents do not contain information on this topic.",Refusal: The documents do not mention space travel or Mars colonies.,2849.04,True,True,True
Information Security,Must employees use a VPN when working on public Wi-Fi?,"Yes, according to the Information Security Policy, a Virtual Private Network (VPN) must be used when accessing the company network from an untrusted network, such as public Wi-Fi.","Yes, a VPN must be used when accessing the company network from an untrusted network such as public Wi-Fi.",2659.68,False,True,True
Study Leave,How many days of paid study leave can an eligible employee receive per academic year?,Eligible employees may be granted up to 10 days of paid study leave per academic year.,Up to 10 days of paid study leave per academic year.,2618.57,True,True,True
Travel,How far in advance must business travel be approved and booked?,"Business travel must be approved in advance by your manager, and to secure better rates, travel should be booked at least 14 days in advance.",Travel must be approved in advance by a manager and booked at least 14 days in advance to secure better rates.,2593.61,False,True,True
Travel,What class of flights are employees expected to book for business travel?,Employees are expected to book economy class tickets for both domestic and international flights.,Economy class for both domestic and international flights.,2591.72,True,True,True
Disciplinary,How long is a written warning valid for under the disciplinary procedure?,A written warning is valid for 6 months under the disciplinary procedure.,A written warning is valid for 6 months.,2558.21,False,True,True
Grievance,Within how many working days must a grievance hearing be scheduled after receiving a written grievance?,A grievance hearing must be scheduled within 5 working days of receiving the written grievance.,Within 5 working days of receiving the written grievance.,2633.8,False,True,True
Performance,What are the four stages of Sandbox's performance cycle?,"I am sorry, but the company documents do not contain information on this topic.","Goal Setting (January), Mid-Year Review (July), End-of-Year Review (December), and Ongoing Feedback.",2578.11,True,True,False
