topic,query,answer,gold_answer,latency,groundedness,citation_accuracy,partial_match
Agile,What is the definition of Done in Sandbox Agile?,"At Sandbox, the definition of ""Done"" is not explicitly defined in the provided context, but it is mentioned that at the end of a Sprint, the new Increment must be ""Done"" [agile_methodology_guide.md]. However, the exact definition of ""Done"" is not provided in the given context.","Code is peer-reviewed, unit tests are written and passing, the feature is tested by QA, and the Product Owner has accepted the story.",803.55,False,True,False
Leave,How many days of annual leave are full-time employees entitled to per year in South Africa?,Full-time employees are entitled to 21 consecutive days of paid annual leave per year [leave_policy.md].,21 consecutive days of paid annual leave per year (1.75 days per month).,478.21,True,True,True
Leave,What is the maximum number of annual leave days an employee can accumulate?,The maximum number of annual leave days an employee can accumulate is 30 days [leave_policy.md].,A maximum of 30 days of annual leave.,448.65,False,True,True
Leave,When is a medical certificate required for sick leave?,"A medical certificate is required if you are absent from work for more than two consecutive days, or on more than two occasions during an eight-week period [leave_policy.md].","If absent for more than two consecutive days, or on more than two occasions during an eight-week period.",444.75,False,True,True
Dress Code,What is the company's dress code policy for regular office days?,"The company's dress code policy for regular office days is ""smart casual"" [dress_code_policy.md]. This policy trusts employees to use their best judgment when it comes to their attire [dress_code_policy.md]. However, certain items are not considered appropriate, including clothing with offensive graphics, beachwear, sportswear, and clothing that is torn, dirty, or revealing [dress_code_policy.md].","The dress code is 'smart casual', which means professional yet relaxed, neat and put-together.",569.71,False,True,True
Dress Code,What should an employee wear when meeting with clients?,"When meeting with clients, an employee is expected to dress in business professional attire [dress_code_policy.md]. This includes a suit or blazer, dress shirt, trousers, and dress shoes for men, with a tie recommended [dress_code_policy.md], and a suit, dress, or a skirt/trousers with a blouse and blazer for women [dress_code_policy.md].","Business professional attire (e.g., suit, blazer, dress shirt, dress shoes).",501.56,False,True,True
Dress Code,Are flip-flops allowed in the office?,"No, flip-flops are not allowed in the office, as they are considered beachwear [dress_code_policy.md]. Additionally, in certain areas like a server room or workshop, closed-toe shoes may be required for safety [dress_code_policy.md].","No, beachwear like flip-flops is specifically listed as unacceptable attire.",539.23,True,True,True
Leave,How many days of family responsibility leave are employees entitled to?,Employees are entitled to 3 days of paid family responsibility leave per year [leave_policy.md].,"3 days of paid family responsibility leave per year, for employees who have worked more than four months.",404.03,True,True,True
Remote Work,Does Sandbox provide equipment for remote work?,"Yes, Sandbox provides the necessary equipment for remote work, including a laptop and other peripherals, as stated in the company's remote work policy [remote_work_policy.md].","Yes, Sandbox provides necessary equipment including a laptop and other peripherals.",419.27,True,True,True
Remote Work,Who is responsible for the cost of internet service for remote employees?,"According to the company policy, remote employees are responsible for their own internet service and costs [remote_work_policy.md]. However, a stipend may be provided to offset these costs, as outlined in the Expense Policy [remote_work_policy.md].","Employees are responsible for their own internet service and costs, though a stipend may be provided as outlined in the Expense Policy.",575.79,False,True,True
Expenses,Within how many days should an expense report be submitted?,Expense reports should be submitted within 30 days of incurring the expense [expense_policy.md].,Expense reports should be submitted within 30 days of incurring the expense.,449.5,False,True,True
Expenses,Is childcare a reimbursable expense?,"No, childcare is not a reimbursable expense [expense_policy.md]. It is listed as a non-reimbursable expense [expense_policy.md].","No, childcare is specifically listed as a non-reimbursable expense.",503.53,True,True,True
Agile,What are the core Scrum events mentioned in the Agile guide?,"The core Scrum events mentioned in the Agile guide are: 
- The Sprint [agile_methodology_guide.md]
- Sprint Planning [agile_methodology_guide.md]
- Daily Scrum (Stand-up) [agile_methodology_guide.md]
- Sprint Review [agile_methodology_guide.md]
- Sprint Retrospective [agile_methodology_guide.md]","The Sprint, Sprint Planning, Daily Scrum (Stand-up), Sprint Review, and Sprint Retrospective.",562.81,False,True,True
General,Who is the CEO of Sandbox?,"The CEO of Sandbox is Stacy Fakename [ceo_welcome_message.md], [code_of_conduct.md], [leave_policy.md].",Stacy Fakename.,497.84,True,True,True
Expenses,What is the 'Home Office Stipend' mentioned in the Expense Policy?,"The 'Home Office Stipend' is a monthly stipend that may be provided to remote employees to cover a portion of home office expenses, such as internet and electricity [expense_policy.md].",A monthly stipend provided to remote employees to cover a portion of home office expenses like internet and electricity.,799.31,False,True,True
Agile,What are the three questions for the Daily Scrum?,"The three questions to consider during the Daily Scrum are: 
1. What did I do yesterday?
2. What will I do today?
3. Are there any impediments in my way? [agile_methodology_guide.md]",1. What did I do yesterday? 2. What will I do today? 3. Are there any impediments in my way?,2816.03,False,True,True
Agile,What is the 'Scrum Master' responsible for?,The Scrum Master is responsible for removing impediments to the team's progress and helping everyone understand Scrum theory and practice [agile_methodology_guide.md]. They act as a servant-leader for the team [agile_methodology_guide.md].,The Scrum Master is a servant-leader responsible for helping everyone understand Scrum and removing impediments to the team's progress.,2717.52,False,True,True
Expenses,Can an employee be reimbursed for traffic violations?,"No, an employee cannot be reimbursed for traffic violations [expense_policy.md]. According to the expense policy, traffic violations or parking tickets are listed as examples of non-reimbursable expenses [expense_policy.md].","No, traffic violations or parking tickets are non-reimbursable.",2734.72,True,True,True
Leave,What is the leave year period at Sandbox?,The leave year at Sandbox runs from January 1st to December 31st [leave_policy.md].,The leave year runs from January 1st to December 31st.,2665.52,True,True,True
Out-of-Scope,What is the policy on company space travel and Mars colonies?,"I am sorry, but the company documents do not contain information on this topic.",Refusal: The documents do not mention space travel or Mars colonies.,2526.65,True,False,True
